signaldate,Fuel oil temperature supply unit(ams),TC Bearing Oil Pressure Inlet TC #01(ams),Estimated engine load(ems),Turbocharger 1 speed(ems),VIT intermediate result A(ems),VIT intermediate result B(ems),VIT intermediate result C(ems),VIT intermediate result D(ems),Common Start of Injection(ems),Scav. Air Press. Mean Value(ems),Compression Pressure Average(ems),Firing Pressure Average(ems),Relative Engine Speed(ems),Exhaust Gas Average Temperature(ems),Exh. valve opening angle at CMCR(ems),Exh. valve closing angle at CMCR(ems),Cyl. lub. distribution share above piston(ems),Cyl. lub. distribution share below piston(ems),Cyl. lub. distribution share into piston(ems),Engine External Speed Setpoint(ems),Engine Internal Speed Setpoint(ems),MFI Demand(ems),Limited MFI PID MAX value(ems),Fuel Pressure Setpoint(ems),Fuel Pump Setpoint Master Controller(ems),Fuel Pump Setpoint Slave Controller(ems),Barometric Pressure 1(ems),Exh. valve opening angle Cyl_mean,Exh. valve opening angle Cyl_min,Exh. valve opening angle Cyl_max,Firing Pr. Balancing Injection Offset Cyl_mean,Firing Pr. Balancing Injection Offset Cyl_min,Firing Pr. Balancing Injection Offset Cyl_max,Start of Injection Cyl_mean,Start of Injection Cyl_min,Start of Injection Cyl_max,Engine speed(scr)
2021-10-04 05:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,62.53333333333333,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1004.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.0596666666666663,-3.599333333333333,-2.562,0.0
2021-10-04 06:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,62.43333333333334,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1004.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.049,-3.4926666666666666,-2.6366666666666667,0.0
2021-10-04 07:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,62.03333333333333,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1003.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.084555555555556,-3.780666666666667,-2.704,0.0
2021-10-04 08:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,62.1,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1003.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.0738888888888893,-3.535333333333333,-2.6933333333333334,0.0
2021-10-04 09:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.81666666666666,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1004.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.098777777777778,-3.535333333333333,-2.6366666666666667,0.0
2021-10-04 10:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.583333333333336,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.066777777777778,-3.6846666666666654,-2.6793333333333336,0.0
2021-10-04 11:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.5,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1006.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.095222222222222,-3.7273333333333336,-2.519333333333333,0.0
2021-10-04 12:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.53333333333333,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1006.1666666666666,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.095222222222222,-3.6633333333333336,-2.615333333333333,0.0
2021-10-04 13:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.4,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1007.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.066777777777778,-3.5666666666666664,-2.6366666666666667,0.0
2021-10-04 14:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.48333333333333,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1007.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.109444444444444,-3.6526666666666654,-2.7753333333333337,0.0
